屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
味処　半兵衛,ｱｼﾞﾄﾞｺﾛﾊﾝﾍﾞｴ,飲食業,麺類店,高山ラーメン・居酒屋メニュー,高山,506-0023,川原町54,34-8451,利用可能
味の与平(舩坂酒造店),ｱｼﾞﾉﾖﾍｲ,飲食業,レストラン,飛騨牛・酒,高山,506-0845,上二之町7,35-1224,利用可能
気軽な大衆居酒屋　あじ平,ｱｼﾞﾍｲ,飲食業,酒場,居酒屋,高山,506-0008,初田町1-34,35-1063,利用可能
アシヤ生花店,ｱｼﾔｾｲｶﾃﾝ,小売業,その他小売り,生花,高山,506-0026,花里町6-6,34-4741,利用不可
as i am,ｱｽﾞｱｲｱﾑ,理美容・エステ業（マッサージ業）,エステ,エステサロン,高山,506-0003,本母町224-2 チェリーコート本母1-B,090-2186-0233,利用不可
あずま堂,ｱｽﾞﾏﾄﾞｳ,小売業,パン・菓子,菓子,国府,509-4119,国府町広瀬町1633-1,72-3287,利用可能
アスモのお花屋さん,ｱｽﾓﾉｵﾊﾅﾔｻﾝ,小売業,その他小売り,生花,高山,506-0054,岡本町2-45-1（アスモ内）,35-3687,利用可能
あそびば.コーヒー　栄徳屋,ｱｿﾋﾞﾊﾞｺｰﾋｰｴｲﾄｸﾔ,飲食業,喫茶店,コーヒー豆　ドリップバック,久々野,509-3205,久々野町久々野,090-3454-8404,利用不可
ＡＤＡ－ＨＯＭＥ㈱,ｱﾀﾞ･ﾎｰﾑ,建設業,住宅建築,建築工事・リフォーム,高山,506-0031,西之一色町1-12-3,34-2013,利用可能
アダチ石油㈱　東山SS,ｱﾀﾞﾁｾｷﾕ,小売業,ガソリンスタンド・燃料,石油製品・自動車関連用品・整備,高山,506-0802,松之木町290,33-8300,利用不可
アダチ石油㈱　高山SS,ｱﾀﾞﾁｾｷﾕ,小売業,ガソリンスタンド・燃料,石油製品・自動車関連用品・整備,高山,506-0055,上岡本町1-38,33-1122,利用不可
あちゃりーな,ｱﾁｬﾘｰﾅ,理美容・エステ業（マッサージ業）,エステ,エステ・化粧品販売,高山,506-0001,冬頭町700-8,080-6948-1980,利用不可
アツシ板金工業,ｱﾂｼﾊﾞﾝｷﾝｺｳｷﾞｮｳ,建設業,住宅建築,屋根・外壁・雨樋工事,高山,506-0052,下岡本町3160-1,33-6398,利用不可
＠home salon for you,ｱｯﾄﾎｰﾑｻﾛﾝﾌｫｰﾕｰ,理美容・エステ業（マッサージ業）,美容室,カット・カラー・パーマ,高山,506-0812,漆垣内町601,77-9735,利用可能
アップ・ファーレン,ｱｯﾌﾟ･ﾌｧｰﾚﾝ,自動車販売・修理業,自動車,自動車,高山,506-0001,冬頭町776-1,57-9300,利用不可
㈲　アドバンス飛騨,ｱﾄﾞﾊﾞﾝｽﾋﾀﾞ,生活関連業,洗濯業,ふとんクリーニング、介護用品,一之宮,509-3505,一之宮町1566-1,53-2191,利用可能
㈱アトミックオートサービス,ｱﾄﾐｯｸｵｰﾄｻｰﾋﾞｽ,自動車販売・修理業,自動車,自動車販売･修理,高山,506-0825,石浦町5-229,37-1471,利用不可
アトリエ　プーラン　エトワール,ｱﾄﾘｴﾌﾟｰﾗﾝｴﾄﾜｰﾙ,小売業,パン・菓子,焼菓子、フレンチ惣菜等,高山,506-0011,本町3丁目58セントラルワンビル2F,32-1717,利用可能
atelier ＢＬＥＵ,ｱﾄﾘｴﾌﾞﾙｰ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0851,大新町5-61-2,33-4935,利用可能
アニーズギター教室,ｱﾆｰｽﾞｷﾞﾀｰｷｮｳｼﾂ,生活関連業,その他各種教室,レッスン料,高山,506-0857,鉄砲町63番地,090-7302-7826,利用不可
㈲アプラ,ｱﾌﾟﾗ,建設業,建設,不動産・建築,高山,506-0054,岡本町4-13-7,37-3310,利用可能
アプランドル,ｱﾌﾟﾗﾝﾄﾞﾙ,理美容・エステ業（マッサージ業）,美容室,美容院,高山,506-0054,岡本町1-391-4,34-8007,利用不可
雨音ダイニング,ｱﾏﾈﾀﾞｲﾆﾝｸﾞ,飲食業,酒場,飲食店,高山,506-0007,総和町2-14,36-3766,利用可能
奄美旬鮮がじゅまる,ｱﾏﾐｼｭﾝｾﾝｶﾞｼﾞｭﾏﾙ,飲食業,酒場,飲食,高山,506-0008,初田町2-1-2,32-7083,利用可能
ameya,ｱﾒﾔ,飲食業,その他飲食店,りんご飴,高山,506-0847,片原町34,090-9899-1922,利用不可
AYUN高山セントラルホテル,ｱﾕﾝﾀｶﾔﾏｾﾝﾄﾗﾙﾎﾃﾙ,ホテル・旅館業等,ホテル,ホテル,高山,506-0009,花岡町1-5-2,33-3500,利用可能
㈲荒井建築工房,ｱﾗｲｹﾝﾁｸｺｳﾎﾞｳ,建設業,住宅建築,住宅建築・設備・塗装工事,高山,506-0851,大新町3-164,34-5288,利用不可
新井自動車㈱,ｱﾗｲｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車整備販売,丹生川,506-2132,丹生川町法力54-4,78-2061,利用不可
㈲荒井塗装店,ｱﾗｲﾄｿｳﾃﾝ,建設業,塗装,塗装工事・除雪,高山,506-0035,新宮町700-70,33-7738,利用不可
新井板金,ｱﾗｲﾊﾞﾝｷﾝ,建設業,住宅建築,住宅板金（屋根雨樋、壁）,高山,506-0824,片野町3-48,33-5878,利用不可
荒川商店,ｱﾗｶﾜｼｮｳﾃﾝ,小売業,食料品,食料品・雑貨,荘川,501-5413,荘川町新渕420-1,05769-2-2030,利用不可
アラジン,ｱﾗｼﾞﾝ,小売業,その他小売り,おもちゃ・模型・人形,高山,506-0011,本町3-36,33-0864,利用可能
㈲あらたに文具店,ｱﾗﾀﾆﾌﾞﾝｸﾞﾃﾝ,小売業,その他小売り,文房具,高山,506-0023,川原町30-3,32-1018,利用不可
アリラン,ｱﾘﾗﾝ,飲食業,その他飲食店,国産牛ホルモン・ハラミ,高山,506-0005,七日町3-68,32-6160,利用不可
ARS-RAISON,ｱﾙｽﾚｿﾞﾝ,飲食業,レストラン,レストラン,高山,506-0053,昭和町1-188-1 高山市民文化会館,33-8333,利用可能
アルテッツァ,ｱﾙﾃｯﾂｱ,飲食業,専門料理店,飲食店・イタリア料理,高山,506-0009,花岡町1-17 ARCビル1F,62-9951,利用可能
アルプス街道平湯,ｱﾙﾌﾟｽｶｲﾄﾞｳﾋﾗﾕ,飲食業,レストラン,飲食･ﾚｽﾄﾗﾝ,奥飛騨温泉郷,506-1433,奥飛騨温泉郷平湯628,0578-89-2611,利用可能
アルプス街道平湯　アルプラザ,ｱﾙﾌﾟｽｶｲﾄﾞｳﾋﾗﾕｱﾙﾌﾟﾗｻﾞ,小売業,その他小売り,お土産品、酒類,奥飛騨温泉郷,506-1433,奥飛騨温泉郷平湯628,0578-89-2611,利用可能
ＡＬｍａ　ｈａｉｒ,ｱﾙﾏﾍｱｰ,理美容・エステ業（マッサージ業）,美容室,カット・パーマ・カラー,高山,506-0021,名田町2-74-2,77-9174,利用不可
アロマショップ　HERBS,ｱﾛﾏｼｮｯﾌﾟﾊｰﾌﾞｽ,小売業,雑貨,アロマテラピー製品,高山,506-0825,石浦町1-499,37-5123,利用可能
アン,ｱﾝ,小売業,衣料品・履物,婦人服・バック・スカーフ・雑貨,高山,506-0055,上岡本町5-377-3,32-4616,利用不可
あんきなだんご,ｱﾝｷﾅﾀﾞﾝｺﾞ,小売業,その他小売り,みだらしだんご・五平餅　他,清見,506-0102,高山市清見町三日町171,090-5638-1774,利用可能
㈲アンクラブエリナ,ｱﾝｸﾗﾌﾞｴﾘﾅ,小売業,衣料品・履物,婦人服・バッグ・帽子・雑貨,高山,506-0025,天満町6-15,34-7260,利用可能
アンジェリカ,ｱﾝｼﾞｪﾘｶ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0001,冬頭町495-5,57-8821,利用不可
㈲安藤酒店,ｱﾝﾄﾞｳｻｹﾃﾝ,小売業,酒屋,酒類･調味料,高山,506-0026,花里町5-17,34-0543,利用不可
and flows,ｱﾝﾄﾞﾌﾛｰｽﾞ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0054,岡本町2-402-1,34-6856,利用可能
アンビション・ヒダ,ｱﾝﾋﾞｼｮﾝ･ﾋﾀﾞ,生活関連業,ペット関連,ドッグトリミング・ドッグフード,高山,506-0035,新宮町3581-5,34-1962,利用不可
あんま･はり･きゅう やました治療院,ｱﾝﾏ･ﾊﾘ･ｷｭｳﾔﾏｼﾀﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,あんま･ﾏｯｻｰｼﾞ･鍼灸治療,高山,506-0035,新宮町700-86,34-5016,利用不可
あんま マッサージ 鍼　北斗治療院,ｱﾝﾏﾏｯｻｰｼﾞﾊﾘﾎｸﾄﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,あんま・マッサージ,高山,506-0045,赤保木町1188県営住宅A4棟416号,34-7370,利用不可
EVILTEX,ｲｰｳﾞｨﾙﾃｸｽ,飲食業,専門料理店,アメリカ料理提供販売,高山,506-0026,花里町6-19　アルコーブ花里1F,57-5888,利用可能
イーストカー,ｲｰｽﾄｶｰ,自動車販売・修理業,自動車,自動車,高山,506-0041,下切町1187-1,34-1936,利用可能
イートブックス,ｲｰﾄﾌﾞｯｸｽ,飲食業,その他飲食店,書籍・飲食,高山,506-0054,岡本町2-390-1,090-4318-0039,利用可能
家のぬくもりと庭のやすらぎ　サンバリー,ｲｴﾉﾇｸﾓﾘｻﾝﾊﾞﾘｰ,建設業,建設,リフォーム・エクステリア・造園,高山,506-0041,下切町1071-8,33-5535,利用可能
井口治療院,ｲｸﾞﾁﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,整体,整体,高山,506-0054,岡本町1-94-19,33-7474,利用不可
igrec,ｲｸﾞﾚｯｸ,飲食業,レストラン,フランス料理　　カフェメニュー,高山,506-0031,西之一色町3-829-2,0577-62-9922,利用可能
いけがみスポーツ整体院,ｲｹｶﾞﾐｽﾎﾟｰﾂｾｲﾀｲｲﾝ,理美容・エステ業（マッサージ業）,整体,整体施術,高山,506-0009,花岡町1-45,0577-70-1221,利用可能
池上治療院,ｲｹｶﾞﾐﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,整体,整体・指圧,高山,506-0055,上岡本町5-249,32-3589,利用不可
池田電工,ｲｹﾀﾞﾃﾞﾝｺｳ,建設業,設備,エアコン・浴室暖房等の設置,高山,506-0813,塩屋町551-416,34-2633,利用不可
㈲池畑工務店,ｲｹﾊﾀｺｳﾑﾃﾝ,建設業,住宅建築,住宅建築,久々野,509-3205,久々野町久々野1619,52-2123,利用不可
(資)池畑商店,ｲｹﾊﾀｼｮｳﾃﾝ,小売業,酒屋,酒類・土産品,高山,506-0026,花里町6-107,32-0847,利用可能
居酒屋あきら,ｲｻﾞｶﾔｱｷﾗ,飲食業,酒場,居酒屋,国府,509-4119,国府町広瀬町917,72-3833,利用可能
居酒屋　イチロクナナ,ｲｻﾞｶﾔｲﾁﾛｸﾅﾅ,飲食業,酒場,居酒屋,高山,506-0035,新宮町1118,33-9129,利用不可
居酒屋　いなか,ｲｻﾞｶﾔｲﾅｶ,飲食業,酒場,食物,高山,506-0824,片野町3-214,35-0160,利用不可
居酒屋 きのえね,ｲｻﾞｶﾔｷﾉｴﾈ,飲食業,酒場,生ビール他飲み物・口取料理,高山,506-0017,朝日町23,35-0092,利用不可
居酒屋　ごえん,ｲｻﾞｶﾔｺﾞｴﾝ,飲食業,酒場,郷土料理・地酒　他お飲み物各種,高山,506-0032,千島町640,32-0810,利用不可
居酒屋　小夜歌,ｲｻﾞｶﾔｻﾖｶ,飲食業,酒場,居酒屋,高山,506-0017,朝日町11-3　2F,080-5660-7048,利用可能
居酒屋　どうとん。,ｲｻﾞｶﾔﾄﾞｳﾄﾝ｡,飲食業,酒場,酒類・料理,高山,506-0017,朝日町20,70-8302,利用不可
居酒屋　ボンズ,ｲｻﾞｶﾔﾎﾞﾝｽﾞ,飲食業,酒場,居酒屋,高山,506-0006,神田町1-12-2,090-5871-9516,利用不可
居酒屋　祭,ｲｻﾞｶﾔﾏﾂﾘ,飲食業,酒場,お酒他、一品料理,高山,506-0831,吹屋町108,35-0334,利用不可
居酒屋 よせ味こにし,ｲｻﾞｶﾔﾖｾｱｼﾞｺﾆｼ,飲食業,酒場,飲食,高山,506-0818,江名子町3854-3,33-2955,利用不可
居酒屋　和田,ｲｻﾞｶﾔﾜﾀﾞ,飲食業,酒場,アルコール類・食事,高山,506-0017,朝日町23,090-3386-1906,利用不可
イシサンオート,ｲｼｻﾝｵｰﾄ,自動車販売・修理業,自動車,自動車整備,高山,506-0055,上岡本町1-90,34-0069,利用不可
いしはら酒店,ｲｼﾊﾗｻｹﾃﾝ,小売業,酒屋,清酒、飲料水、調味料、ビール等,国府,509-4119,国府町広瀬町1048-1,72-2012,利用不可
イシハラ美容室,ｲｼﾊﾗﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,カット、パーマ、カラー、着付,高山,506-0054,岡本町1-42-8,34-6435,利用可能
イシモトサービス,ｲｼﾓﾄｻｰﾋﾞｽ,小売業,家電,家電・住宅設備,高山,506-0802,松之木町2697-15,34-8407,利用不可
㈱イセヤ,ｲｾﾔ,小売業,衣料品・履物,婦人衣料品,高山,506-0017,朝日町14,32-2058,利用不可
itamen LOTUS LAND,ｲﾀﾒﾝﾛｰﾀｽﾗﾝﾄﾞ,飲食業,その他飲食店,イタリアン・ラーメン,高山,506-0851,大新町2-81町家モールかとや東側,0577-70-1177,利用可能
i-chi,ｲﾁ,小売業,パン・菓子,菓子・雑貨,高山,506-0843,下一之町5,080-3646-3355,利用可能
櫟,ｲﾁｲ,飲食業,喫茶店,自家製ケーキ,高山,506-0807,三福寺町4340,34-9016,利用可能
㈲一木自動車,ｲﾁｷｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車,高山,506-0052,下岡本町968-1,32-2329,利用可能
㈱一善,ｲﾁｾﾞﾝ,生活関連業,セレモニーホール,葬祭・イベントレンタル墓地墓石,高山,506-0001,冬頭町255-1,34-5755,利用可能
いちはら,ｲﾁﾊﾗ,小売業,衣料品・履物,婦人衣料,高山,506-0011,本町2-32,32-3737,利用可能
㈱いちまる,ｲﾁﾏﾙ,自動車販売・修理業,タイヤ,タイヤ・ボディコーティング,高山,506-0055,上岡本町7-500-1,33-0901,利用可能
ichiri,ｲﾁﾘ,飲食業,その他飲食店,お弁当,国府,509-4122,国府町名張596,080-8488-7585,利用不可
一光堂印店,ｲｯｺｳﾄﾞｳｲﾝﾃﾝ,小売業,その他小売り,印章・ゴム印,高山,506-0011,本町2-9,34-1375,利用可能
一生懸命,ｲｯｼｮｳｹﾝﾒｲ,飲食業,酒場,料理とお酒,高山,506-0006,神田町1-62,34-3556,利用可能
ファミリーストアさとう　移動スーパー　とくし丸　石浦店,ｲﾄﾞｳｽｰﾊﾟｰﾄｸｼﾏﾙｲｼｳﾗﾃﾝ,小売業,食料品,食料品,高山,506-0825,石浦町2-355-1,34-8850,利用不可
ファミリーストアさとう　移動スーパー　とくし丸　桐生店５,ｲﾄﾞｳｽｰﾊﾟｰﾄｸｼﾏﾙｷﾘｭｳﾃﾝｺﾞ,小売業,食料品,食料品,高山,506-0004,桐生町2-271,34-8877,利用不可
ファミリーストアさとう　移動スーパー　とくし丸　桐生店４,ｲﾄﾞｳｽｰﾊﾟｰﾄｸｼﾏﾙｷﾘｭｳﾃﾝﾖﾝ,小売業,食料品,食料品,高山,506-0004,桐生町2-271,34-8877,利用不可
ファミリーストアさとう　移動スーパー　とくし丸　食彩館,ｲﾄﾞｳｽｰﾊﾟｰﾄｸｼﾏﾙｼｮｸｻｲｶﾝ,小売業,食料品,食料品,高山,506-0824,片野町6-522,35-3310,利用不可
伊藤薬局　石浦店,ｲﾄｳﾔｯｷｮｸｲｼｳﾗﾃﾝ,小売業,薬局・医薬品,医薬品･自然化粧品,高山,506-0825,石浦町6-203-1,35-5515,利用可能
いとう薬局KATANO,ｲﾄｳﾔｯｷｮｸｶﾀﾉ,小売業,薬局・医薬品,医薬品・処方箋調剤・雑貨,高山,506-0824,片野町6-546,36-1999,利用可能
伊藤薬局　桐生店,ｲﾄｳﾔｯｷｮｸｷﾘｭｳﾃﾝ,小売業,薬局・医薬品,医薬品･自然化粧品,高山,506-0004,桐生町5-339,36-3225,利用可能
いとう薬局初田店,ｲﾄｳﾔｯｷｮｸﾊﾂﾀﾞﾃﾝ,小売業,薬局・医薬品,医薬品・処方箋調剤・雑貨,高山,506-0008,初田町3-19-12,33-0101,利用可能
伊藤薬局　本町店,ｲﾄｳﾔｯｷｮｸﾎﾝﾏﾁﾃﾝ,小売業,薬局・医薬品,医薬品･自然化粧品,高山,506-0011,本町3-6,32-0419,利用可能
イトオテルミー橋詰療術所,ｲﾄｵﾃﾙﾐｰﾊｼﾂﾞﾒﾘｮｳｼﾞｭﾂｼｮ,理美容・エステ業（マッサージ業）,マッサージ,イトオテルミー療術,高山,506-0823,森下町１丁目145番地3,33-3826,利用可能
井戸工業㈱,ｲﾄﾞｺｳｷﾞｮｳ,建設業,建設,舗装工事（駐車場・道路他）,高山,506-0046,下之切町58-5,34-7045,利用不可
ＩＮＡＢＡ,ｲﾅﾊﾞ,小売業,衣料品・履物,婦人服,高山,506-0054,岡本町4-276,34-2636,利用不可
イノマル商店,ｲﾉﾏﾙｼｮｳﾃﾝ,飲食業,酒場,おでん,高山,506-0017,朝日町24　でこなる横丁,57-7280,利用可能
カットサロン　いふ,ｲﾌ,理美容・エステ業（マッサージ業）,美容室,美容業全般,高山,506-0005,七日町2-170,34-3044,利用可能
㈲今井板金工業所,ｲﾏｲﾊﾞﾝｷﾝｺｳｷﾞｮｳｼｮ,建設業,住宅建築,屋根･外壁･雨樋･落雪ストップ,高山,506-0055,上岡本町3-21,32-5383,利用可能
イマイファクトリー,ｲﾏｲﾌｧｸﾄﾘｰ,自動車販売・修理業,自動車,自動車整備・パーツ販売,高山,506-0825,石浦町3-175-6,32-7382,利用不可
いまい文具店,ｲﾏｲﾌﾞﾝｸﾞﾃﾝ,小売業,その他小売り,文具・事務用品,高山,506-0011,本町3-5,32-0344,利用可能
いまい文具店（Pen　Shop）,ｲﾏｲﾌﾞﾝｸﾞﾃﾝ(ﾍﾟﾝｼｮｯﾌﾟ),小売業,その他小売り,文房具・文具・雑貨,高山,506-0011,本町3-5 鍜治橋こみちより２階,32-0344,利用可能
㈲今井ラジオ商会,ｲﾏｲﾗｼﾞｵｼｮｳｶｲ,小売業,家電,家電品・パソコン,高山,506-0011,本町4-55,34-1738,利用可能
癒しの家　そらふね,ｲﾔｼﾉｲｴｿﾗﾌﾈ,理美容・エステ業（マッサージ業）,セラピー,アロマトリートメント・自然療法,久々野,509-3214,久々野町無数河347-2,080-5168-2186,利用可能
癒しのツボみん,ｲﾔｼﾉﾂﾎﾞﾐﾝ,理美容・エステ業（マッサージ業）,セラピー,リラクゼーション,高山,506-0053,昭和町2-91-1,57-5460,利用可能
居楽屋　檜,ｲﾗｸﾔﾋﾉｷ,飲食業,酒場,居酒屋,高山,506-0825,石浦町7-567,32-8136,利用可能
医療給食センター　ビーンズ,ｲﾘｮｳｷｭｳｼｮｸｾﾝﾀｰﾋﾞｰﾝｽﾞ,小売業,食料品,弁当の製造配達,高山,506-0807,三福寺町4522,32-6622,利用可能
irodori,ｲﾛﾄﾞﾘ,理美容・エステ業（マッサージ業）,美容室,美容室,国府,509-4126,国府町瓜巣156-1,080-6904-6476,利用不可
いわきの早蕨,ｲﾜｷ,小売業,パン・菓子,わらびもち,高山,506-0846,上三之町111-2,34-1113,利用不可
イワキ電化,ｲﾜｷﾃﾞﾝｶ,小売業,家電,家電,高山,506-0031,西之一色町3-1316,33-3765,利用可能
イワサキ,ｲﾜｻｷ,小売業,衣料品・履物,学生衣料・靴・化粧品,国府,509-4119,国府町広瀬町1038-18,72-2020,利用可能
岩佐建築,ｲﾜｻｹﾝﾁｸ,建設業,住宅建築,建築、リフォーム,高山,506-0818,江名子町2105-146,33-3194,利用不可
㈲岩佐文具店,ｲﾜｻﾌﾞﾝｸﾞﾃﾝ,小売業,その他小売り,文具･食品サンプル,高山,506-0844,上一之町29,33-1166,利用可能
岩下製畳所,ｲﾜｼﾀｾｲｼﾞｮｳｼｮ,建設業,住宅建築,畳と障子・襖・クロスの貼替,国府,509-4119,国府町広瀬町1071-21,72-2240,利用可能
㈲岩田自動車,ｲﾜﾀｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車販売･修理･車検,高山,506-0001,冬頭町70,33-5446,利用不可
㈲岩田商店　片野本店,ｲﾜﾀｼｮｳﾃﾝｶﾀﾉﾎﾝﾃﾝ,小売業,ガソリンスタンド・燃料,ガソリン・灯油・タイヤ,高山,506-0824,片野町4-531,33-4567,利用不可
